"","pitch_type","release_speed","release_pos_x","release_pos_y","release_pos_z"
"590","ST",86.4,-2.58,53.74,5.53
"591","FF",99.8,-2.23,53.57,5.67
"592","FF",98.8,-2.13,53.77,5.72
"593","FF",98,-2.23,53.39,5.61
"594","FF",99.1,-2.16,53.62,5.63
"595","FF",97.1,-2.26,53.74,5.65
"596","FF",97.4,-2.08,53.46,5.73
"597","FF",96.9,-2.06,53.65,5.79
"598","FF",98.6,-1.87,53.29,5.83
"599","FF",96.9,-1.93,53.39,5.82
"600","FF",98,-2.21,53.51,5.47
"601","ST",84.5,-2.42,53.48,5.41
"602","FF",96.2,-1.97,53.44,5.64
"603","FF",97.5,-2.09,53.55,5.65
"604","FF",95.8,-2.1,53.64,5.67
"605","FF",94.6,-2.01,53.51,5.7
"606","FF",95.4,-2.31,53.49,5.51
"607","FF",96.1,-2.12,53.43,5.49
"608","FF",97.7,-2.28,53.53,5.46
"609","ST",83.8,-2.37,53.55,5.37
"610","ST",84.2,-2.47,53.41,5.45
"611","ST",80.7,-2.25,53.61,5.7
"612","ST",79.3,-2.28,53.72,5.69
"613","ST",84.9,-2.6,53.48,5.41
"614","ST",83.5,-2.54,53.4,5.44
"615","FF",92.7,-2.16,53.26,5.69
"616","FF",93.5,-1.97,53.24,5.64
"617","ST",81.3,-2.47,53.38,5.72
"618","FF",96.1,-2.33,53.43,5.41
"619","FF",97.1,-2.23,53.41,5.7
"620","FF",95.8,-2.07,53.25,5.54
"621","FF",93.9,-2.09,53.28,5.53
"622","ST",85.6,-2.4,53.71,5.51
"623","FF",98.5,-2.26,53.58,5.59
"624","FF",96.9,-2.16,53.47,5.59
"625","FF",94.8,-2.32,53.4,5.51
"626","FF",96.6,-2.31,53.33,5.47
"627","FF",93,-2.11,53.44,5.56
"628","FF",96.8,-2.07,53.59,5.69
"629","ST",80.2,-2.27,53.62,5.77
"630","FF",94.1,-2.03,53.26,5.75
"631","FF",95.1,-2.4,53.53,5.68
"632","ST",82.9,-2.41,53.44,5.51
"633","FF",96.7,-2.28,53.58,5.49
"634","FF",95,-2.16,53.49,5.59
"635","ST",83.9,-2.42,53.29,5.47
"636","FF",95.6,-2.09,53.46,5.67
"637","FF",92.3,-2.1,53.54,5.65
"638","FF",95.8,-2.12,53.48,5.62
"639","FF",92.6,-1.96,53.39,5.7
"640","FF",93.9,-2.1,53.56,5.64
"641","FF",94.1,-1.98,53.45,5.71
"642","ST",84,-2.51,53.39,5.47
"643","ST",82.1,-2.38,53.67,5.55
"644","ST",85.2,-2.33,53.52,5.51
"645","FF",96,-2.22,53.43,5.51
"646","FF",94.2,-1.99,53.45,5.7
"647","FF",94.8,-1.98,53.42,5.78
"648","ST",84.3,-2.34,53.39,5.56
"649","ST",85,-2.27,53.45,5.52
"650","FF",97.6,-2.08,53.45,5.69
"651","FF",95.7,-2.16,53.38,5.7
"652","FF",94.7,-2.09,53.28,5.68
"653","FF",95.8,-2.37,53.49,5.62
"654","FF",92.5,-2.27,53.42,5.65
"655","ST",81.3,-2.34,53.51,5.58
"656","FF",98.9,-2.51,52.98,5.62
"657","ST",83.1,-2.38,53.79,6.08
"658","ST",81,-2.18,53.89,6.18
"659","FF",96.7,-2.49,53.7,5.76
"660","ST",82.3,-2.68,53.81,5.64
"661","FF",96.5,-2.26,53.6,5.76
"662","ST",83.1,-2.58,52.72,5.7
"663","ST",83.6,-2.47,52.89,5.76
"664","ST",83.9,-2.62,53.76,5.68
"665","ST",83.7,-2.48,53.87,5.76
"666","FF",100.7,-2.45,52.9,5.68
"667","FF",99.5,-2.58,53.28,5.63
"668","ST",87.2,-2.72,53.7,5.54
"669","FF",95.6,-2.53,53.49,5.55
"670","ST",85.7,-2.65,53.71,5.53
"671","FF",97.8,-2.36,53.61,5.69
"672","ST",87.4,-2.66,53.77,5.63
"673","ST",85.1,-2.63,53.7,5.55
"674","ST",84.9,-2.72,53.77,5.45
"675","FF",97.2,-2.26,53.54,5.8
"676","ST",84.8,-2.47,53.76,5.6
"677","FF",98.5,-2.28,53.56,5.81
"678","FF",98.6,-2.45,53.19,5.69
"679","ST",84.5,-2.07,53.85,6.32
"680","FF",98.8,-2.22,53.62,5.83
"681","ST",87.5,-2.6,53.87,5.64
"682","ST",85.3,-2.45,53.89,5.76
"683","ST",85.5,-2.58,53.8,5.62
"684","ST",84,-2.5,53.83,5.69
"685","ST",87.8,-2.75,53.85,5.66
"686","ST",87,-2.69,53.85,5.55
"687","ST",85.7,-2.48,53.76,5.71
"688","ST",85.7,-2.61,53.8,5.66
"689","FF",98.8,-2.35,53.88,5.88
"690","FF",96.6,-2.14,53.53,5.9
"691","ST",83.1,-2.11,53.83,6.24
"692","ST",85.9,-2.57,53.71,5.66
"693","ST",86.4,-2.63,53.77,5.78
"694","ST",88.2,-2.54,53.79,5.67
"695","ST",86.2,-2.04,53.65,6.13
"696","FF",98.3,-2.5,53.61,5.61
"697","ST",84.3,-2.52,53.72,5.53
"698","ST",83.9,-2.43,53.91,5.74
"699","ST",86.3,-2.61,53.83,5.69
"700","ST",83.6,-2.31,53.84,5.72
"701","ST",82.3,-2.27,52.81,5.78
"702","FF",98.3,-2.37,53.61,5.63
"703","ST",84.6,-2.58,53.66,5.63
"704","ST",82.9,-2.47,53.9,5.75
"705","FF",98.6,-2.26,53.56,5.7
"706","FF",99.9,-2.17,53.63,5.75
"707","ST",89.2,-2.73,53.84,5.55
"708","FF",100.8,-2.53,53.69,5.63
"709","FF",100.4,-2.6,53.78,5.6
"710","ST",84.9,-2.51,53.76,5.74
"711","ST",83.2,-1.85,54.06,6.36
"712","ST",83.6,-2.44,53.87,5.73
"713","FF",94.6,-2.17,53.67,5.87
"714","FF",96,-2.17,53.57,5.76
"715","ST",83.5,-2.39,53.96,5.7
"716","ST",84.3,-2.51,53.77,5.82
"717","ST",84.9,-2.81,53.37,5.31
"718","FF",96.7,-2.56,53.68,5.46
"719","ST",83.7,-2.38,53.62,5.99
"720","FF",95.5,-2.16,53.78,5.72
"721","ST",83.1,-2.57,53.62,5.47
"722","FF",97,-2.29,53.74,5.76
"723","ST",86.5,-2.23,53.77,6.08
"724","ST",85.8,-2.14,53.84,5.97
"725","ST",83.9,-2.03,53.75,6.15
"726","ST",79.6,-2.5,53.8,5.65
"727","ST",86.1,-2.26,53.63,5.81
"728","ST",84.2,-2.51,53.69,5.39
"729","FF",99.3,-2.11,53.52,5.68
"730","FF",97.8,-2.07,53.57,5.72
"731","ST",84.5,-2.31,53.47,5.44
"732","FF",99.2,-2.49,53.77,5.53
"733","FF",99.3,-2.39,53.63,5.52
"734","ST",85.3,-2.75,53.77,5.51
"735","FF",100.2,-2.37,53.77,5.67
"736","FF",101,-2.38,53.72,5.8
"737","ST",88.6,-2.68,53.64,5.51
"738","FF",100,-2.37,53.68,5.69
"739","ST",84.2,-2.57,53.43,5.34
"740","ST",85.9,-2.77,53.46,5.37
"741","FF",98.4,-2.54,53.72,5.63
"742","FF",96.8,-2.18,53.55,5.82
"743","FF",95.1,-2.14,53.54,5.75
"744","FF",98,-2.42,53.71,5.47
"745","ST",83.2,-2.29,53.66,5.86
"746","ST",82.5,-2.41,53.66,5.46
"747","ST",86.2,-2.66,53.68,5.5
"748","ST",83.2,-2.45,53.6,5.47
"749","FF",97.1,-2.33,53.62,5.63
"750","ST",82.8,-1.79,53.9,6.3
"751","ST",84,-2.55,53.44,5.43
"752","ST",83.5,-2.56,53.65,5.59
"753","FF",97.4,-2.12,53.65,5.76
"754","ST",83.4,-2.34,53.71,5.63
"755","FF",94.9,-2.1,53.54,5.82
"756","ST",88.6,-2.2,53.79,6.15
"757","FF",99.5,-2.33,53.62,5.59
"758","FF",96.6,-2.41,53.51,5.52
"759","ST",87.5,-2.59,53.55,5.35
"760","ST",85.3,-2.55,53.62,5.51
"761","ST",83.6,-2.48,53.6,5.53
"762","FF",95,-2.22,53.55,5.73
"763","ST",84.6,-2.48,53.31,5.48
"764","ST",84.1,-2.51,53.2,5.49
"765","ST",81.5,-2.59,53.61,5.63
"766","ST",85.3,-2.43,53.5,5.59
"767","ST",82.7,-2.45,53.47,5.66
"768","FF",93.3,-2.21,53.53,5.67
"769","ST",84.4,-2.4,53.72,5.7
"770","ST",85.3,-2.62,53.57,5.52
"771","ST",82.1,-2.38,53.69,5.68
"772","FF",95,-2.01,53.45,5.83
"773","FF",98.5,-2.45,53.54,5.63
"774","ST",84.5,-2.56,53.48,5.45
"775","FF",98.1,-2.29,53.5,5.65
"776","ST",84.5,-2.32,53.47,5.9
"777","FF",97.1,-2.22,53.51,5.75
"778","ST",84.5,-2.63,53.58,5.57
"779","FF",98.9,-2.35,53.4,5.66
"780","ST",87.8,-3.06,53.77,5.13
"781","ST",85.6,-2.36,53.31,5.56
"782","FF",99.5,-2.06,53.54,5.83
"783","FF",99.3,-2,53.45,5.87
"784","FF",98.3,-2.3,53.61,5.77
"785","FF",96.4,-2.31,53.45,5.77
"786","ST",84.7,-2.71,53.45,5.43
"787","ST",84.4,-2.42,53.55,5.65
"788","FF",97.1,-2.07,53.45,5.85
"789","FF",97.1,-1.86,53.47,5.91
"790","ST",82.9,-2.33,53.66,5.67
"791","FF",96.2,-2.04,53.35,5.81
"792","ST",84.9,-2.7,53.92,5.33
"793","FF",98,-2.28,53.95,5.72
"794","ST",84.5,-1.88,53.9,6.03
"795","FF",97,-2.22,53.76,5.59
"796","ST",82.3,-1.7,53.91,6.5
"797","FF",97.4,-2.12,53.59,5.59
"798","FF",98.2,-1.94,53.66,5.74
"799","FF",98,-1.84,53.7,5.74
"800","ST",81.8,-2.08,53.74,5.67
"801","FF",98.1,-1.99,53.63,5.69
"802","FF",94.4,-1.84,53.66,5.83
"803","ST",83.5,-1.76,53.87,6.23
"804","ST",82.4,-1.84,53.66,6.08
"805","ST",82.3,-2.32,53.88,5.47
"806","ST",81.2,-2.23,53.77,5.53
"807","FF",94.8,-1.84,53.73,5.78
"808","FF",95.4,-1.83,53.61,5.85
"809","FF",94.8,-2.12,53.68,5.6
"810","ST",80.8,-2.2,53.66,5.68
"811","FF",95.9,-2.26,53.73,5.57
"812","ST",82.7,-1.71,53.87,6.56
"813","ST",81.6,-2.06,54.04,6.08
"814","FF",97.3,-2.09,53.7,5.52
"815","ST",82,-2.47,53.85,5.48
"816","ST",84.9,-2.32,53.81,5.46
"817","ST",82.1,-2.46,53.74,5.46
"818","FF",99.2,-2.16,53.59,5.66
"819","FF",98,-2.04,53.6,5.68
"820","FF",97.8,-2.11,53.54,5.67
"821","ST",83.4,-2.42,53.85,5.43
"822","ST",82.6,-2.32,53.69,5.54
"823","FF",96.3,-1.84,53.56,5.7
"824","FF",97.4,-2.11,53.7,5.57
"825","ST",82.1,-2.39,53.7,5.66
"826","ST",82.8,-2.28,53.6,5.49
"827","ST",81,-2.26,53.75,5.59
"828","FF",94.3,-1.67,53.54,6.01
"829","ST",83.8,-1.84,53.64,6.1
"830","FF",97.7,-2.19,53.75,5.71
"831","ST",80.9,-1.81,53.58,6.22
"832","ST",79.3,-1.69,53.4,6.06
"833","FF",97.1,-2.05,53.5,5.71
"834","FF",98,-2.1,53.66,5.66
"835","FF",98.1,-2.1,53.52,5.63
"836","ST",81.5,-1.56,53.49,6.29
"837","ST",82.4,-2.33,53.98,5.4
"838","ST",82.1,-2.23,53.77,5.5
"839","ST",84,-2.5,53.64,5.51
"840","FF",98.2,-1.99,53.47,5.68
"841","ST",83.9,-1.88,53.76,6.17
"842","FF",95.6,-1.86,53.59,5.88
"843","FF",98.4,-2.14,53.66,5.7
"844","ST",84.9,-2.28,53.76,5.56
"845","FF",98.6,-2.2,53.52,5.7
"846","ST",82.7,-2.68,53.68,5.48
"847","FF",97.2,-2.51,53.6,5.6
"848","ST",84.4,-2.51,53.82,5.58
"849","ST",83.6,-2.55,53.8,5.62
"850","ST",85.3,-2.57,53.81,5.6
"851","ST",86,-2.71,53.68,5.57
"852","ST",85.8,-2.65,53.75,5.63
"853","ST",86.8,-2.61,53.79,5.48
"854","ST",82.8,-2.29,53.82,5.7
"855","ST",83.5,-2.66,53.68,5.63
"856","ST",83.4,-2.72,53.76,5.6
"857","FF",96.2,-2.3,53.69,5.82
"858","FF",95.9,-2.28,53.76,5.97
"859","FF",95.9,-2.24,53.74,5.88
"860","ST",79.5,-2.36,53.77,5.77
"861","FF",95.2,-2.37,53.64,5.92
"862","FF",95.5,-2.53,53.59,5.66
"863","ST",81.5,-2.5,53.7,5.66
"864","FF",97.9,-2.28,53.79,5.85
"865","FF",95.2,-2.19,53.54,5.68
"866","FF",97.1,-2.19,53.53,5.71
"867","ST",85.6,-2.67,53.63,5.52
"868","ST",83.3,-2.6,53.63,5.6
"869","FF",99.1,-2.37,53.59,5.68
"870","ST",86.6,-2.88,53.58,5.5
"871","ST",86.1,-2.68,53.58,5.5
"872","ST",83.3,-2.7,53.64,5.57
"873","ST",84.4,-2.46,53.7,5.55
"874","FF",93.5,-2.31,53.56,5.88
"875","FF",94.2,-2.15,53.59,5.91
"876","FF",94.2,-2.07,53.65,5.86
"877","FF",99.3,-2.28,53.64,5.82
"878","FF",98,-2.39,53.54,5.77
"879","ST",85,-2.26,53.82,6.2
"880","FF",96.6,-2.61,53.72,5.77
"881","FF",95.6,-2.13,53.54,5.85
"882","ST",84.3,-2.77,53.75,5.56
"883","ST",83.6,-2.48,53.74,5.74
"884","FF",98,-2.22,53.57,5.83
"885","ST",86.6,-2.59,53.74,5.53
"886","FF",99.1,-2.12,53.7,5.92
"887","FF",96.8,-2.2,53.64,5.81
"888","ST",85.3,-2.34,53.95,5.98
"889","ST",85,-2.57,53.75,5.68
"890","FF",98.1,-2.38,53.67,5.84
"891","FF",97.4,-2.36,53.56,5.83
"892","FF",97.5,-2.34,53.65,5.73
"893","FF",98.7,-2.43,53.53,5.76
"894","FF",95.9,-2.21,53.54,5.78
"895","ST",85.5,-2.28,53.66,5.93
"896","ST",84.7,-2.5,53.78,5.67
"897","FF",98,-2.17,53.56,5.71
"898","FF",97.5,-2.08,53.61,5.86
"899","FF",98.5,-2.24,53.63,5.74
"900","ST",84.7,-2.68,53.83,5.4
"901","ST",84.1,-2.3,53.76,5.88
"902","FF",98.3,-2.18,53.68,5.64
"903","FF",95.9,-2.29,53.51,5.64
"904","FF",96.2,-2.38,53.68,5.69
"905","FF",97.8,-2.03,53.51,5.82
"906","FF",95,-2.13,53.71,5.92
"907","FF",95.9,-2.29,53.65,5.72
"908","ST",82.1,-2.41,53.95,5.69
"909","FF",100.6,-2.22,53.46,5.65
"910","ST",84.1,-2.58,53.67,5.44
"911","FF",98,-2.18,53.53,5.69
"912","FF",98.4,-2.13,53.55,5.85
"913","FF",95.5,-2.22,53.51,5.68
"914","FF",95.7,-2.11,53.39,5.76
"915","ST",85.8,-2.76,53.75,5.29
"916","ST",82.3,-2.59,53.6,5.48
"917","ST",82.8,-2.63,53.64,5.48
"918","FF",96.5,-2.04,53.56,5.79
"919","ST",84,-2.6,53.59,5.47
"920","ST",83.4,-2.6,53.72,5.48
"921","ST",81.9,-2.47,53.55,5.53
"922","ST",82.1,-2.55,53.88,5.49
"923","ST",81,-2.56,53.55,5.47
"924","ST",86,-2.18,53.59,5.96
"925","ST",83.1,-2.6,53.71,5.55
"926","ST",85,-2.52,53.69,5.47
"927","ST",83.4,-2.63,53.68,5.53
"928","ST",83.5,-2.52,53.68,5.59
"929","ST",85.9,-2.54,53.67,5.48
"930","FF",97.4,-2.3,53.55,5.66
"931","ST",86.3,-2.18,53.62,5.99
"932","FF",94.9,-2.12,53.62,5.79
"933","ST",82,-2.39,53.79,5.6
"934","FF",97.9,-2.46,53.53,5.68
"935","ST",84.6,-2.1,53.68,6.05
"936","ST",82.6,-2.13,53.61,5.94
"937","ST",82.1,-2.57,53.8,5.59
"938","ST",85.4,-2.2,53.67,6.17
"939","ST",81.4,-2.58,53.66,5.56
"940","ST",85.6,-2.39,53.74,5.98
"941","FF",98.6,-2.09,53.54,5.8
"942","ST",82.6,-2.54,53.62,5.49
"943","ST",81.4,-2.56,53.77,5.69
"944","ST",82.2,-2.71,53.89,5.47
"945","FF",96.5,-2.4,53.62,5.66
"946","ST",87.5,-2.42,53.47,5.95
"947","FF",97.9,-2.47,53.63,5.77
"948","ST",85.2,-2.88,53.58,5.33
"949","ST",88.2,-2.28,53.62,6.04
"950","FF",98.1,-2.26,53.64,5.83
"951","FF",98.3,-2.41,53.58,5.66
"952","FF",98.2,-2.53,53.63,5.64
"953","ST",85.2,-2.23,53.6,6.09
"954","FF",98.6,-2.16,53.47,5.78
"955","FF",98,-2.29,53.53,5.81
"956","ST",84.7,-2.81,53.61,5.34
"957","ST",85.2,-1.95,53.55,6.04
"958","ST",85.6,-1.84,53.7,6.07
"959","ST",84.2,-2.48,53.63,5.63
"960","ST",84.8,-1.96,53.66,5.99
"961","FF",98.9,-2.02,53.63,5.72
"962","FF",96.3,-2.14,53.5,5.66
"963","ST",83.7,-2.46,53.58,5.48
"964","FF",96.6,-2.07,53.56,5.84
"965","FF",96.3,-2.09,53.53,5.71
"966","FF",97.9,-2.26,53.66,5.68
"967","FF",98.7,-2.33,53.95,5.77
"968","FF",98.1,-2.19,53.7,5.7
"969","ST",83.3,-2.61,53.74,5.54
"970","FF",98.8,-2.17,53.58,5.66
"971","FF",97.1,-2.21,53.58,5.63
"972","ST",83.8,-2.6,53.64,5.44
"973","ST",82.9,-2.5,53.9,5.54
"974","FF",97.2,-2.19,53.57,5.7
"975","ST",84.8,-2.58,53.81,5.61
"976","FF",99.2,-2.32,53.72,5.8
"977","FF",97.2,-2.13,53.6,5.69
"978","ST",81.4,-2.3,53.76,5.92
"979","FF",96.7,-2.22,53.59,5.69
"980","ST",84.5,-2.51,53.84,5.47
"981","FF",99.1,-2.27,53.69,5.65
"982","FF",100.2,-2.28,53.8,5.79
"983","FF",99.2,-2.14,53.46,5.72
"984","FF",98.1,-2.25,53.62,5.66
"985","ST",84.3,-2.49,53.7,5.52
"986","FF",98.8,-2.28,53.55,5.68
"987","ST",86.9,-2.23,53.7,5.93
"988","FF",98.6,-2.26,53.76,5.79
"989","ST",84.1,-2.6,53.71,5.56
"990","ST",83.7,-2.46,53.68,5.66
"991","ST",83.7,-2.32,53.65,5.68
"992","ST",81.9,-2.49,53.72,5.63
"993","FF",95.8,-1.88,53.57,5.91
"994","ST",85.8,-2.36,53.62,5.81
"995","ST",84.2,-2.56,53.44,5.51
"996","ST",84.1,-2.84,53.69,5.52
"997","ST",83.3,-2.3,53.56,5.91
"998","ST",82.2,-2.52,53.67,5.57
"999","ST",82.5,-2.39,53.57,5.58
"1000","ST",83.6,-2.54,53.72,5.53
"1001","ST",82.8,-2.49,53.73,5.57
"1002","ST",84.4,-2.61,53.72,5.58
"1003","ST",81.5,-2.43,53.74,5.63
"1004","ST",86.4,-2.25,53.45,5.82
"1005","FF",98.9,-2.3,53.53,5.58
"1006","ST",84.1,-2.58,53.58,5.5
"1007","ST",83,-2.55,53.7,5.47
"1008","FF",99.1,-2.28,53.53,5.68
"1009","FF",99,-2.19,53.63,5.76
"1010","FF",99.6,-2.21,53.54,5.73
"1011","FF",99.2,-2.34,53.6,5.68
"1012","ST",86.1,-2.84,53.75,5.44
"1013","FF",98.9,-2.16,53.73,5.83
"1014","ST",86.2,-2.34,53.67,5.91
"1015","FF",98.8,-2.24,53.6,5.67
"1016","ST",84.8,-2.51,53.71,5.58
"1017","FF",97.9,-2.39,53.58,5.66
"1018","FF",98.9,-2.3,53.53,5.57
"1019","ST",84.3,-2.22,53.58,6
"1020","ST",86.2,-2.57,53.58,5.52
"1021","ST",86.5,-2.44,53.67,5.56
"1022","FF",98,-2.23,53.68,5.89
"1023","ST",84.5,-2.02,53.53,6.05
"1024","ST",85.2,-2.35,53.57,5.63
"1025","ST",84.1,-2.24,53.56,5.63
"1026","FF",97.1,-2.02,53.45,5.76
"1027","ST",84.4,-2.23,53.66,5.93
"1028","ST",84,-1.95,53.45,6.12
"1029","ST",84,-2.46,53.71,5.6
"1030","ST",81.1,-2.32,53.7,5.64
"1031","ST",83.2,-2.49,53.77,5.67
"1032","ST",85.6,-2.11,53.5,5.98
"1033","ST",85.1,-2.37,53.69,5.59
"1034","ST",83.9,-2.52,53.58,5.5
"1035","ST",84.1,-2.48,53.6,5.54
"1036","FF",93,-2.28,53.62,5.81
"1037","ST",84,-2.37,53.62,5.59
"1038","FF",96.9,-2.32,53.53,5.7
"1039","ST",83.5,-2.38,53.51,5.64
"1040","FF",98.4,-2.12,53.65,5.76
"1041","ST",81.9,-2.48,53.78,5.5
"1042","ST",85.3,-2.42,53.59,5.86
"1043","FF",99.2,-2.42,53.7,5.68
"1044","ST",85.8,-2.02,53.42,6.16
"1045","ST",84.1,-2.24,53.75,5.87
"1046","FF",96.5,-2.18,53.61,5.8
"1047","FF",95.9,-2.13,53.74,5.82
"1048","ST",83.9,-2.08,53.93,6.29
"1049","FF",97,-1.83,53.79,5.97
"1050","ST",75.9,-2.26,54.01,5.81
"1051","FF",96.9,-1.78,53.78,6.02
"1052","FF",89.5,-1.86,53.73,6.05
"1053","FF",97.5,-2.11,53.59,5.77
"1054","ST",82.7,-2.47,53.85,5.48
"1055","FF",98.6,-2.07,53.68,5.79
"1056","ST",82.6,-2.47,53.63,5.6
"1057","FF",94.9,-2.1,53.73,5.85
"1058","ST",82.7,-2.94,53.56,5.2
"1059","ST",82.7,-2.16,53.82,5.87
"1060","ST",81.4,-1.99,53.67,5.85
"1061","ST",79.6,-2.05,53.7,5.89
"1062","ST",80.2,-2.37,53.74,5.58
"1063","FF",98.4,-2.07,53.53,5.74
"1064","FF",98.1,-2.11,53.67,5.71
"1065","ST",83.9,-2.57,53.77,5.5
"1066","FF",98.6,-2.17,53.84,5.82
"1067","ST",82.5,-2.52,53.96,5.55
"1068","ST",85.3,-2.06,53.69,5.94
"1069","FF",101.2,-2.16,53.77,5.82
"1070","FF",100.3,-2.15,53.85,5.73
"1071","FF",99.3,-2.35,53.59,5.61
"1072","ST",83,-2.42,53.8,5.47
"1073","ST",84.5,-2.4,53.72,5.48
"1074","ST",83.8,-2.33,53.74,5.48
"1075","FF",97.5,-2.12,53.59,5.68
"1076","ST",83.7,-2.51,53.74,5.5
"1077","ST",83.2,-2.47,53.84,5.6
"1078","FF",97.6,-1.93,53.43,5.73
"1079","ST",81.9,-2.4,53.69,5.63
"1080","FF",97.3,-1.91,53.51,5.72
"1081","ST",83.8,-2.57,53.7,5.43
"1082","ST",81.8,-2.4,53.69,5.58
"1083","FF",98.1,-2.15,53.61,5.69
"1084","ST",83.4,-2.61,53.95,5.5
"1085","FF",96.7,-2.19,53.71,5.76
"1086","ST",74.8,-2.12,53.45,6.13
"1087","ST",80.8,-2.54,53.78,5.48
"1088","ST",82.1,-2.55,53.97,5.56
"1089","ST",86.4,-2.26,53.7,5.92
"1090","FF",98.2,-2.35,53.67,5.68
"1091","ST",84.8,-2.12,54,6.11
"1092","ST",79.4,-2.31,53.96,5.76
"1093","ST",85.8,-1.88,53.75,6.02
"1094","ST",81.5,-2.43,53.64,5.55
"1095","ST",83.3,-2.21,53.77,6
"1096","FF",98.6,-2.26,53.71,5.69
"1097","FF",97.2,-2.26,53.58,5.69
"1098","ST",81.8,-2.6,53.75,5.52
"1099","FF",98.4,-2.1,53.64,5.83
"1100","ST",84.1,-2.12,53.74,6.06
"1101","FF",98.1,-2.05,53.55,5.77
"1102","FF",97.2,-1.97,53.62,5.88
"1103","FF",95.5,-2.21,53.53,5.8
"1104","ST",84.4,-2.12,53.82,6
"1105","ST",79.6,-2.32,53.72,5.74
"1106","ST",82.5,-2.41,53.86,5.52
"1107","ST",85.3,-2.11,53.89,5.99
"1108","ST",81.6,-2.4,53.76,5.65
"1109","ST",86.1,-1.87,53.63,6.05
"1110","ST",82.3,-2.43,53.86,5.57
"1111","ST",82.7,-2.5,53.64,5.29
"1112","ST",82.6,-2.47,53.83,5.9
"1113","ST",78.3,-2.46,53.66,5.63
"1114","ST",75.9,-2.45,53.93,5.71
"1115","FF",98.8,-2,53.53,5.85
"1116","ST",79.9,-1.87,53.54,6.15
"1117","FF",97.2,-2,53.59,5.75
"1118","ST",79,-2.59,53.69,5.52
"1119","FF",98.7,-2.15,53.56,5.63
"1120","FF",91.3,-1.88,53.5,5.98
"1121","FF",93.5,-2.05,53.68,5.84
"1122","FF",92.8,-1.88,53.53,5.9
"1123","ST",81.4,-2.42,53.75,5.55
"1124","FF",97.9,-1.91,53.5,5.79
"1125","ST",84.5,-2.1,53.62,5.88
"1126","ST",81.8,-2.53,53.85,5.47
"1127","ST",83.3,-2.47,53.61,5.49
"1128","ST",82.2,-2.4,54.08,5.56
"1129","ST",86.6,-2.13,53.53,5.78
"1130","ST",81,-2.28,53.86,5.59
"1131","FF",97.2,-1.98,53.53,5.72
"1132","FF",98.6,-2.33,53.61,5.56
"1133","ST",86.3,-2.26,53.57,5.88
"1134","ST",86.2,-2.39,53.57,5.59
"1135","FF",97.8,-2.34,53.58,5.59
"1136","ST",85.6,-2.09,53.68,5.97
"1137","ST",83.4,-2.45,53.56,5.54
"1138","ST",84.3,-2.46,53.56,5.34
"1139","FF",96,-2.07,53.5,5.64
"1140","FF",96.8,-2.13,53.57,5.61
"1141","FF",95.2,-2.07,53.52,5.69
"1142","ST",83.8,-2.3,53.55,5.59
"1143","ST",83.7,-2.42,53.64,5.44
"1144","ST",86.1,-2.68,53.62,5.39
"1145","FF",99.7,-2.27,53.54,5.5
"1146","ST",88,-2.14,53.56,5.86
"1147","ST",87.1,-1.93,53.71,6.22
"1148","FF",99.8,-2.25,53.66,5.69
"1149","FF",98.9,-2.32,53.66,5.63
"1150","ST",83.8,-2.07,53.51,5.92
"1151","ST",87.2,-2.09,53.63,5.91
"1152","ST",84.9,-2.42,53.57,5.47
"1153","ST",83.6,-2.49,53.76,5.56
"1154","ST",87.3,-2.24,53.6,6.05
"1155","ST",86.3,-2.11,53.63,5.89
"1156","FF",100.2,-2.25,53.52,5.61
"1157","ST",82,-2.39,53.48,5.69
"1158","ST",83,-2.36,53.76,5.67
"1159","FF",98.3,-2.37,53.59,5.68
"1160","ST",87,-2.27,53.52,5.81
"1161","ST",83.9,-2.47,53.66,5.49
"1162","FF",96.2,-2.35,53.54,5.64
"1163","ST",84.3,-2.56,53.5,5.51
"1164","ST",83.7,-2.13,53.7,6.1
"1165","ST",84.3,-2.44,53.58,5.61
"1166","ST",85.6,-2.27,53.45,5.96
"1167","ST",86.4,-2.04,53.29,6.01
"1168","ST",84.3,-2.41,53.58,5.7
"1169","ST",85.4,-2.48,53.62,5.51
"1170","ST",84.3,-2.57,53.76,5.54
"1171","ST",83.9,-2.38,53.79,5.72
"1172","FF",98.7,-2.03,53.51,5.86
"1173","ST",85,-2.1,53.47,5.98
"1174","ST",82.8,-2.09,53.46,5.94
"1175","ST",83.2,-2.36,53.76,5.7
"1176","ST",83.4,-2.22,53.83,5.96
"1177","FF",97.6,-2.4,53.79,5.54
"1178","ST",83.6,-2.4,53.79,5.82
"1179","ST",82.7,-2.48,53.87,5.42
"1180","ST",81.3,-2.4,53.91,5.46
"1181","ST",84.5,-2.24,53.89,5.94
"1182","ST",83.3,-2.4,53.68,5.51
"1183","ST",82.7,-2.48,53.82,5.6
"1184","ST",82.3,-2.39,54.11,5.61
"1185","ST",80.9,-2.37,53.72,5.69
"1186","FF",98.4,-2.24,53.82,5.6
"1187","ST",84,-2.46,54,5.54
"1188","ST",82,-2.3,53.91,5.68
"1189","ST",85.1,-2.56,53.79,5.48
"1190","FF",98.3,-2.03,53.62,5.68
"1191","FF",97.4,-2.17,53.78,5.71
"1192","FF",97.4,-2.14,53.78,5.7
"1193","ST",85,-2.33,53.78,5.77
